time_step,pitch_deg,yaw_deg
1,-5.34220624533579e-17,0.0
2,-4.647243298510435e-17,0.0
3,-4.2357944305408047e-17,0.0
4,-4.0455884445248535e-17,0.0
5,-3.739934148563062e-17,0.0
6,-3.708835738072329e-17,0.0
7,-2.9706235747773325e-17,0.0
8,-2.5620170238432116e-17,0.0
9,-2.315834420613031e-17,0.0
10,-1.5115956609866238e-17,0.0
11,-1.7173479065597058e-17,0.0
12,-1.6141215266873116e-17,0.0
13,-1.4569284244400507e-17,0.0
14,-1.2466574258935354e-17,0.0
15,-1.4740092998291203e-17,0.0
16,-1.1141459734459639e-17,0.0
17,-1.2120365215593962e-17,0.0
18,-6.688706440986933e-18,0.0
19,-3.454265249523399e-18,0.0
20,-1.6240690248314716e-18,0.0
21,-1.9533220617901353e-18,0.0
22,-7.566876279187098e-18,0.0
23,-1.5039533511623643e-17,0.0
24,-1.3798659624965968e-17,0.0
25,-1.3147331929918287e-17,0.0
26,-1.1301399370810752e-17,0.0
27,-2.1660124874691595e-17,0.0
28,-2.622551942920574e-17,0.0
29,-2.5677524124998554e-17,0.0
30,-2.4885671956002807e-17,0.0
31,-2.476018637911648e-17,0.0
32,-2.5205569261058894e-17,0.0
33,-2.842499451480179e-17,0.0
34,-3.53097456529924e-17,0.0
35,-3.357964581398505e-17,0.0
36,-3.180644602557483e-17,0.0
37,-3.197659125320599e-17,0.0
38,-3.724982585767168e-17,0.0
39,-4.0722409015871593e-17,0.0
40,-4.024004566467049e-17,0.0
41,-3.727686233676062e-17,0.0
42,-2.919837044042347e-17,0.0
43,-3.0620204151410096e-17,0.0
44,-3.463512163637205e-17,0.0
45,-3.7056780205235217e-17,0.0
46,-3.5723408516591355e-17,0.0
47,-3.138794248415427e-17,0.0
48,-2.30497557977953e-17,0.0
49,0.25464289637362125,8.905553108097847e-14
50,0.2213730045865289,5.088887490341627e-14
51,0.744381021512506,-1.0559441542458876e-12
52,3.7693361603411666,-5.597776239375789e-13
53,6.532204165508323,-1.7811106216195694e-13
54,9.635705467436189,1.90833280887811e-13
55,12.379872242146934,4.834443115824545e-13
56,15.133631447572382,7.63333123551244e-13
57,17.023865746504573,2.620777057525938e-12
58,14.805283814955791,-0.49130525762519883
59,12.874201761435572,-0.43262632525493416
60,11.391350755412402,-1.5637445310996436
61,10.040596703631277,-4.1991198394711455
62,8.878288440296178,-7.466620237137921
63,7.903087729312331,-10.206033483201104
64,6.9427483065224145,-13.730223826975605
65,6.128200397424928,-16.68716228124742
66,5.347096782368157,-19.714211493005152
67,4.755571527437303,-22.73938735164059
68,4.192323459195325,-24.58447908807695
69,3.647318587272605,-24.089507989054304
70,3.107070549092808,-21.207662124619738
71,2.6294545576112323,-18.44345758647135
72,2.2555271212788455,-16.133251036223307
73,1.9317331050288271,-14.030912551954525
74,1.6712057826172704,-12.273774317713189
75,1.4590113704356595,-10.802006503219825
76,1.2830371130010165,-9.556325943852732
77,1.122881218860176,-8.40422907133482
78,0.972430433275113,-7.3073926659726895
79,0.8481905876991872,-6.392168864765867
80,0.7360786479795892,-5.5596942953519015
81,0.6463083290522593,-4.889323240938908
82,0.5710622013599287,-4.32503442905299
83,0.5018727201405668,-3.804469866978487
84,0.44114359976971507,-3.346388676672805
85,0.381176736124392,-2.8931195046686775
86,0.33127660908789247,-2.5153339789611335
87,0.2895673200277355,-2.1991987666130766
88,0.2546262561686913,-1.9341463669294758
89,0.22397625543094896,-1.7015064380865452
90,0.19818771562620088,-1.5056822477534875
91,0.17436098401133168,-1.3246987260273502
92,0.15423162831734977,-1.1717657881204817
93,0.13405941831190635,-1.0184831289349865
94,0.11655424272536555,-0.8854526583528751
95,0.10195326703985726,-0.7744868805416328
96,0.08918564275287584,-0.677452896138339
97,0.07846525850311482,-0.59597881485124
98,0.06702462335773975,-0.5090337805952274
99,0.05861983296789571,-0.4451636733820689
100,0.0509801973168336,-0.3871118815274489
101,0.045114350891810956,-0.3425417688855078
102,0.03968104886703823,-0.30126115686227817
103,0.035106081338303605,-0.26650459942809973
104,-0.43970194214858604,-0.23438947222666004
105,-0.38930628753758906,-0.20740430274036137
106,-0.8080259565885739,-0.1803448473822457
107,-3.400227232569552,-0.15746985546165052
108,-6.562935638695043,-0.13628188312264036
109,-9.409289553615837,-0.11916785756996295
110,-12.250017336758381,-0.10349012103828804
111,-14.634569123572577,-0.09045650958215172
112,-16.87937654641978,-0.07950580644788016
113,-20.199069786832393,-0.06825927465624691
114,-22.992882820477142,-0.05910563804912236
115,-21.723791283481457,0.17211420815823536
116,-19.111514067306143,0.15531401878351414
117,-16.910040149186916,0.8951100072308106
118,-14.897202186502708,3.5295893444297852
119,-13.132970503702284,5.492766705705719
120,-11.461189419042226,7.75925523516251
121,-10.026712738066088,10.487115098088154
122,-8.80074580309838,13.81177050649946
123,-7.799339476066509,16.42096950932667
124,-6.943137917893651,18.627798114064365
125,-6.175039466139365,21.64648590387562
126,-5.3047527469957645,19.42640355955491
127,-4.5125448623433435,16.920434465346105
128,-3.8579482130779246,14.72594326231906
129,-3.332735621931664,12.886305370408715
130,-2.905389531281258,11.340324553194145
131,-2.5387143475554503,9.980999327833977
132,-2.2219044647720585,8.784194604431779
133,-1.9584216585266916,7.774504733512852
134,-1.676510891312665,6.681256927901698
135,-1.4537975112932338,5.809092742897594
136,-1.276835429609383,5.1113679391676445
137,-1.1218308212430947,4.4971979332957295
138,-0.9858575821906217,3.9563818100871866
139,-0.8713773059902941,3.4997418544374077
140,-0.7658689777462226,3.077944471772464
141,-0.6655466388924853,2.676141606415974
142,-0.5819830834984518,2.340982801500209
143,-0.506004625539054,2.0359236429691907
144,-0.4449668458822503,1.7906612089458487
145,-0.38901222616752473,1.5656948258243062
146,-0.34211126300150735,1.3770472270621839
147,-0.3009671366496057,1.2115030789314465
148,-0.26322522505599266,1.0596122739031255
149,0.0005179185488023834,0.9216513210271956
150,0.00044216264402257763,0.8057975075663987
151,2.28047820353132,0.7080872372744169
152,5.181542702760888,0.6209663888825686
153,7.387023905410806,0.5475495668064279
154,6.165610053497118,0.4834126317973292
155,5.348248592795472,0.4212019617693577
156,4.219461392421989,0.36268608058755913
157,1.181155214752304,0.3199064681859977
158,-1.9534045132355038,0.28131915381684774
159,-4.791486498816359,0.24678846791421655
160,-7.1819055608647995,0.2174646943752853
161,-9.940686552880837,0.19011453189738414
162,-12.419094712373408,0.1652447178940531
163,-11.12421624244164,-0.5246612895968963
164,-9.72998861851847,-0.4620398515956465
165,-8.573738387445031,-3.0690949766876883
166,-7.567532923801176,-5.98727498915956
167,-6.6257062590700935,-9.456498281706478
168,-5.900989674471766,-12.045425278919357
169,-5.171027681176866,-14.806513364352574
170,-4.491794616479174,-14.407877098006194
171,-3.857271846309268,-12.537484299331679
172,-3.354873040772863,-10.214584494448099
173,-2.940000559464475,-7.24628136054882
174,-2.5708983146999485,-4.227366010146373
175,-2.255481245933472,-1.1208820275001272
176,-1.995326145298772,1.6129488853010263
177,-1.7385540497519172,4.471655030943178
178,-1.509655627307583,7.48786148244163
179,-1.336506728015649,10.391077734252764
180,-1.1902822670905757,13.023662286506573
181,-1.0381315512239504,11.636305049679917
182,-0.9122657535364999,10.29582682021231
183,-0.798057118826584,9.056895304617964
184,-0.6992748292381084,7.969428022962781
185,-0.6095508579689285,6.970303501296283
186,-0.5284515797754351,6.05891903685369
187,-0.4612504919450713,5.298391463327723
188,-0.4051796366866272,4.660585015499493
189,-0.3540846225075828,4.077117048542084
190,-0.3111692662677951,3.5856198829999775
191,-0.27193205542245774,3.1352402272851254
192,-0.23631801800232397,2.725731889392778
193,-0.8998597810946976,2.369876678633691
194,-0.7961498492470717,2.0973580504834
195,-2.8592601257543153,1.8423858626624219
196,-5.677087467767779,1.614935868053038
197,-8.666731590613997,1.420629172542058
198,-11.461722748387151,1.24127982814375
199,-14.144704163529791,1.0778573571716432
200,-16.24991739491175,0.9321935156240828
201,-18.617580461621582,0.8095121412754093
202,-21.59400996662921,0.7040506326669845
203,-19.369393936671962,0.6337979744110803
204,-17.04252240316902,0.5689619330127426
205,-15.081358492379232,0.5110285553209926
206,-13.262717215319087,0.24136162811377274
207,-11.596974495259195,0.2131110011007627
208,-10.0899463857803,-1.9253632833815497
209,-8.803695204560661,-5.1444647035597155
210,-7.831007557698528,-8.053669647301145
211,-6.922457263454492,-10.447207606856269
212,-6.156963708823022,-12.630500408747135
213,-5.421340285198779,-13.832772731430277
214,-4.721121335383463,-12.188710437304875
215,-4.095643898239367,-10.674271039778386
216,-3.53639316065278,-9.28654084075078
217,-3.0775454371766293,-8.12599657033032
